ticker,cik,url,urls
MSI,0000068505,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-24-000008.txt,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-24-000008.txt
MSI,0000068505,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-23-000015.txt,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-23-000015.txt
MSI,0000068505,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-22-000010.txt,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-22-000010.txt
MSI,0000068505,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-21-000008.txt,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-21-000008.txt
MSI,0000068505,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-20-000006.txt,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-20-000006.txt
MSI,0000068505,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-19-000006.txt,https:/www.sec.gov/Archives/edgar/data/68505/0000068505-19-000006.txt
MU,0000723125,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-23-000054.txt,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-23-000054.txt
MU,0000723125,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-22-000048.txt,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-22-000048.txt
MU,0000723125,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-21-000065.txt,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-21-000065.txt
MU,0000723125,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-20-000082.txt,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-20-000082.txt
MU,0000723125,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-19-000094.txt,https:/www.sec.gov/Archives/edgar/data/723125/0000723125-19-000094.txt
NKE,0000320187,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-23-000039.txt,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-23-000039.txt
NKE,0000320187,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-22-000038.txt,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-22-000038.txt
NKE,0000320187,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-21-000028.txt,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-21-000028.txt
NKE,0000320187,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-20-000047.txt,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-20-000047.txt
NKE,0000320187,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-19-000051.txt,https:/www.sec.gov/Archives/edgar/data/320187/0000320187-19-000051.txt
NOW,0001373715,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-24-000030.txt,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-24-000030.txt
NOW,0001373715,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-23-000035.txt,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-23-000035.txt
NOW,0001373715,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-22-000024.txt,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-22-000024.txt
NOW,0001373715,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-21-000061.txt,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-21-000061.txt
NOW,0001373715,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-20-000072.txt,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-20-000072.txt
NOW,0001373715,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-19-000070.txt,https:/www.sec.gov/Archives/edgar/data/1373715/0001373715-19-000070.txt
NVDA,0001045810,https:/www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000029.txt,https:/www.sec.gov/Archives/edgar/data/1045810/0001045810-24-000029.txt
NVDA,0001045810,https:/www.sec.gov/Archives/edgar/data/1045810/0001045810-23-000017.txt,https:/www.sec.gov/Archives/edgar/data/1045810/0001045810-23-000017.txt
