date,ticker,company_name,prc,industry
2019-12-24,AAPL,APPLE INC,284.26999,Technology
2021-11-24,AAPL,APPLE INC,161.94,Technology
2023-08-07,AAPL,APPLE INC,178.85001,Technology
2021-12-08,AAPL,APPLE INC,175.08,Technology
2021-12-13,AAPL,APPLE INC,175.74001,Technology
2019-05-03,AAPL,APPLE INC,211.75,Technology
2021-12-20,AAPL,APPLE INC,169.75,Technology
2019-10-17,AAPL,APPLE INC,235.28,Technology
2022-08-23,AAPL,APPLE INC,167.23,Technology
2020-08-17,AAPL,APPLE INC,458.42999,Technology
2022-05-25,AAPL,APPLE INC,140.52,Technology
2019-10-08,AAPL,APPLE INC,224.39999,Technology
2019-05-29,AAPL,APPLE INC,177.38,Technology
2022-10-05,AAPL,APPLE INC,146.39999,Technology
2020-10-01,AAPL,APPLE INC,116.79,Technology
2021-02-10,AAPL,APPLE INC,135.39,Technology
2021-11-10,AAPL,APPLE INC,147.92,Technology
2019-09-26,AAPL,APPLE INC,219.89,Technology
2019-11-07,AAPL,APPLE INC,259.42999,Technology
2021-09-07,AAPL,APPLE INC,156.69,Technology
2023-04-14,AAPL,APPLE INC,165.21001,Technology
2019-01-14,AAPL,APPLE INC,150,Technology
2020-08-20,AAPL,APPLE INC,473.10001,Technology
2021-12-22,AAPL,APPLE INC,175.64,Technology
2021-12-27,AAPL,APPLE INC,180.33,Technology
2023-03-31,AAPL,APPLE INC,164.89999,Technology
2022-12-08,AAPL,APPLE INC,142.64999,Technology
2023-05-05,AAPL,APPLE INC,173.57001,Technology
2019-12-23,AAPL,APPLE INC,284,Technology
2023-09-07,AAPL,APPLE INC,177.56,Technology
2022-01-10,AAPL,APPLE INC,172.19,Technology
2020-08-14,AAPL,APPLE INC,459.63,Technology
2019-09-03,AAPL,APPLE INC,205.7,Technology
2022-04-20,AAPL,APPLE INC,167.23,Technology
2020-05-26,AAPL,APPLE INC,316.73001,Technology
2019-08-30,AAPL,APPLE INC,208.74001,Technology
2023-07-11,AAPL,APPLE INC,188.08,Technology
2019-08-27,AAPL,APPLE INC,204.16,Technology
2019-08-06,AAPL,APPLE INC,197,Technology
2021-09-30,AAPL,APPLE INC,141.5,Technology
2022-01-19,AAPL,APPLE INC,166.23,Technology
2020-10-23,AAPL,APPLE INC,115.04,Technology
2020-07-24,AAPL,APPLE INC,370.45999,Technology
2023-04-03,AAPL,APPLE INC,166.17,Technology
2020-01-02,AAPL,APPLE INC,300.35001,Technology
2022-04-21,AAPL,APPLE INC,166.42,Technology
2020-08-26,AAPL,APPLE INC,506.09,Technology
2022-01-27,AAPL,APPLE INC,159.22,Technology
2019-08-02,AAPL,APPLE INC,204.02,Technology
2022-02-04,AAPL,APPLE INC,172.39,Technology
2019-05-21,AAPL,APPLE INC,186.60001,Technology
2022-02-08,AAPL,APPLE INC,174.83,Technology
2022-02-10,AAPL,APPLE INC,172.12,Technology
2021-07-14,AAPL,APPLE INC,149.14999,Technology
2020-05-07,AAPL,APPLE INC,303.73999,Technology
2023-12-11,AAPL,APPLE INC,193.17999,Technology
2019-10-22,AAPL,APPLE INC,239.96001,Technology
2022-03-03,AAPL,APPLE INC,166.23,Technology
2022-03-15,AAPL,APPLE INC,155.09,Technology
2019-10-16,AAPL,APPLE INC,234.37,Technology
2021-04-08,AAPL,APPLE INC,130.36,Technology
2019-05-28,AAPL,APPLE INC,178.23,Technology
2022-10-20,AAPL,APPLE INC,143.39,Technology
2020-06-29,AAPL,APPLE INC,361.78,Technology
2022-03-22,AAPL,APPLE INC,168.82001,Technology
2023-08-08,AAPL,APPLE INC,179.8,Technology
2021-04-01,AAPL,APPLE INC,123,Technology
2023-04-20,AAPL,APPLE INC,166.64999,Technology
2019-08-14,AAPL,APPLE INC,202.75,Technology
2019-11-15,AAPL,APPLE INC,265.76001,Technology
2019-09-09,AAPL,APPLE INC,214.17,Technology
2022-03-28,AAPL,APPLE INC,175.60001,Technology
2022-03-31,AAPL,APPLE INC,174.61,Technology
2022-04-05,AAPL,APPLE INC,175.06,Technology
2019-02-19,AAPL,APPLE INC,170.92999,Technology
2022-12-09,AAPL,APPLE INC,142.16,Technology
2021-04-19,AAPL,APPLE INC,134.84,Technology
2022-07-11,AAPL,APPLE INC,144.87,Technology
2022-04-06,AAPL,APPLE INC,171.83,Technology
2022-04-11,AAPL,APPLE INC,165.75,Technology
2019-04-10,AAPL,APPLE INC,200.62,Technology
2020-05-12,AAPL,APPLE INC,311.41,Technology
2022-04-26,AAPL,APPLE INC,156.8,Technology
2022-01-26,AAPL,APPLE INC,159.69,Technology
2022-04-29,AAPL,APPLE INC,157.64999,Technology
2023-05-18,AAPL,APPLE INC,175.05,Technology
2019-03-21,AAPL,APPLE INC,195.09,Technology
2019-02-07,AAPL,APPLE INC,170.94,Technology
2019-12-18,AAPL,APPLE INC,279.73999,Technology
2023-05-08,AAPL,APPLE INC,173.5,Technology
2019-07-19,AAPL,APPLE INC,202.59,Technology
2021-04-20,AAPL,APPLE INC,133.11,Technology
2019-11-11,AAPL,APPLE INC,262.20001,Technology
2022-03-04,AAPL,APPLE INC,163.17,Technology
2022-09-16,AAPL,APPLE INC,150.7,Technology
2019-07-18,AAPL,APPLE INC,205.66,Technology
2022-05-13,AAPL,APPLE INC,147.11,Technology
2021-05-04,AAPL,APPLE INC,127.85,Technology
2021-01-25,AAPL,APPLE INC,142.92,Technology
2020-03-11,AAPL,APPLE INC,275.42999,Technology
2022-05-16,AAPL,APPLE INC,145.53999,Technology
2022-10-25,AAPL,APPLE INC,152.34,Technology
2022-05-05,AAPL,APPLE INC,156.77,Technology
2021-03-18,AAPL,APPLE INC,120.53,Technology
2020-11-23,AAPL,APPLE INC,113.85,Technology
2022-09-19,AAPL,APPLE INC,154.48,Technology
2020-03-31,AAPL,APPLE INC,254.28999,Technology
2020-10-26,AAPL,APPLE INC,115.05,Technology
2022-01-28,AAPL,APPLE INC,170.33,Technology
2020-08-19,AAPL,APPLE INC,462.82999,Technology
2019-01-28,AAPL,APPLE INC,156.3,Technology
2020-04-06,AAPL,APPLE INC,262.47,Technology
2021-03-03,AAPL,APPLE INC,122.06,Technology
2023-12-27,AAPL,APPLE INC,193.14999,Technology
2020-10-07,AAPL,APPLE INC,115.08,Technology
2022-09-20,AAPL,APPLE INC,156.89999,Technology
2021-03-17,AAPL,APPLE INC,124.76,Technology
2023-03-16,AAPL,APPLE INC,155.85001,Technology
2019-07-12,AAPL,APPLE INC,203.3,Technology
2021-06-24,AAPL,APPLE INC,133.41,Technology
2019-10-11,AAPL,APPLE INC,236.21001,Technology
2022-01-21,AAPL,APPLE INC,162.41,Technology
2022-02-07,AAPL,APPLE INC,171.66,Technology
2023-11-07,AAPL,APPLE INC,181.82001,Technology
2021-05-12,AAPL,APPLE INC,122.77,Technology
2019-05-22,AAPL,APPLE INC,182.78,Technology
2019-12-02,AAPL,APPLE INC,264.16,Technology
2023-10-12,AAPL,APPLE INC,180.71001,Technology
2019-05-30,AAPL,APPLE INC,178.3,Technology
2021-11-12,AAPL,APPLE INC,149.99001,Technology
2020-07-27,AAPL,APPLE INC,379.23999,Technology
2022-09-01,AAPL,APPLE INC,157.96001,Technology
2019-11-06,AAPL,APPLE INC,257.23999,Technology
2023-03-17,AAPL,APPLE INC,155,Technology
2023-08-01,AAPL,APPLE INC,195.605,Technology
2019-07-16,AAPL,APPLE INC,204.5,Technology
2019-07-24,AAPL,APPLE INC,208.67,Technology
2019-11-19,AAPL,APPLE INC,266.29001,Technology
2019-03-27,AAPL,APPLE INC,188.47,Technology
2019-06-07,AAPL,APPLE INC,190.14999,Technology
2022-11-11,AAPL,APPLE INC,149.7,Technology
2021-10-28,AAPL,APPLE INC,152.57001,Technology
2022-11-02,AAPL,APPLE INC,145.03,Technology
2021-05-27,AAPL,APPLE INC,125.28,Technology
2023-07-06,AAPL,APPLE INC,191.81,Technology
2020-09-21,AAPL,APPLE INC,110.08,Technology
2020-06-22,AAPL,APPLE INC,358.87,Technology
2023-04-24,AAPL,APPLE INC,165.33,Technology
2022-12-19,AAPL,APPLE INC,132.37,Technology
2023-07-17,AAPL,APPLE INC,193.99001,Technology
2019-08-21,AAPL,APPLE INC,212.64,Technology
2021-06-04,AAPL,APPLE INC,125.89,Technology
2020-02-21,AAPL,APPLE INC,313.04999,Technology
2023-10-19,AAPL,APPLE INC,175.46001,Technology
2019-09-17,AAPL,APPLE INC,220.7,Technology
2019-01-08,AAPL,APPLE INC,150.75,Technology
2020-12-21,AAPL,APPLE INC,128.23,Technology
2020-09-25,AAPL,APPLE INC,112.28,Technology
2021-06-30,AAPL,APPLE INC,136.96001,Technology
2023-01-09,AAPL,APPLE INC,130.14999,Technology
2022-11-03,AAPL,APPLE INC,138.88,Technology
