Ticker,Year,artificial intelligence,AI,ESG
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2020,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2021,0,0,0
ADSK,2022,0,0,0
